options,transmission,color,engine,drive,interior
P_1,DCT,red,W-16,AWD,red
P_2,5-speed Auto,blue,I-4,FWD,black
P_3,5-speed auto,white,I-4,FWD,blue
P_4,5-speed auto,red,I-4,FWD,yellow
P_5,7-speed auto,green,I-4,RWD,red
P_6,7-speed manual,white,V-6,RWD,green
P_7,5-speed manual,red,V-12,RWD,white
P_8,DCT,blue,V-8,AWD,white
P_9,5-speed manual,red,I-4,FWD,red
P_10,5-speed-auto,black,V-6,AWD,blue
P_11,DCT,red,W-16,AWD,red
P_12,5-speed Auto,blue,I-4,FWD,black
P_13,5-speed auto,white,I-4,FWD,blue
P_14,5-speed auto,red,I-4,FWD,yellow
P_15,7-speed auto,green,I-4,RWD,red
P_16,7-speed manual,white,V-6,RWD,green
P_17,5-speed manual,red,V-12,RWD,white
P_18,DCT,blue,V-8,AWD,white
P_19,5-speed manual,red,I-4,FWD,red
P_20,5-speed-auto,black,V-6,AWD,blue
P_21,DCT,red,W-16,AWD,red
P_22,5-speed Auto,blue,I-4,FWD,black
P_23,5-speed auto,white,I-4,FWD,blue
P_24,5-speed auto,red,I-4,FWD,yellow
P_25,7-speed auto,green,I-4,RWD,red
P_26,7-speed manual,white,V-6,RWD,green
P_27,5-speed manual,red,V-12,RWD,white
P_28,DCT,blue,V-8,AWD,white
P_29,5-speed manual,red,I-4,FWD,red
P_30,5-speed-auto,black,V-6,AWD,blue
P_31,DCT,red,W-16,AWD,red
P_32,5-speed Auto,blue,I-4,FWD,black
P_33,5-speed auto,white,I-4,FWD,blue
P_34,5-speed auto,red,I-4,FWD,yellow
P_35,7-speed auto,green,I-4,RWD,red
P_36,7-speed manual,white,V-6,RWD,green
P_37,5-speed manual,red,V-12,RWD,white
P_38,DCT,blue,V-8,AWD,white
P_39,5-speed manual,red,I-4,FWD,red
P_40,5-speed-auto,black,V-6,AWD,blue
P_41,DCT,red,W-16,AWD,red
P_42,5-speed Auto,blue,I-4,FWD,black
P_43,5-speed auto,white,I-4,FWD,blue
P_44,5-speed auto,red,I-4,FWD,yellow
P_45,7-speed auto,green,I-4,RWD,red
P_46,7-speed manual,white,V-6,RWD,green
P_47,5-speed manual,red,V-12,RWD,white
P_48,DCT,blue,V-8,AWD,white
P_49,5-speed manual,red,I-4,FWD,red
P_50,5-speed-auto,black,V-6,AWD,blue
